,Harris,ISS,SIFT,USIP
kitti,"{0: {'repeatability': 0.994360146560967, 'matched': 210.4, 'detected': 211.6}, 1: {'repeatability': 0.989615207174743, 'matched': 209.4, 'detected': 211.6}, 2: {'repeatability': 0.9895914838845506, 'matched': 209.4, 'detected': 211.6}, 3: {'repeatability': 0.9877360298525103, 'matched': 209.0, 'detected': 211.6}, 4: {'repeatability': 0.9915427033967458, 'matched': 209.8, 'detected': 211.6}, 5: {'repeatability': 0.9896015023282787, 'matched': 209.4, 'detected': 211.6}, 6: {'repeatability': 0.9877720088362179, 'matched': 209.0, 'detected': 211.6}, 7: {'repeatability': 0.9905584401273219, 'matched': 209.6, 'detected': 211.6}, 8: {'repeatability': 0.9885351784251644, 'matched': 209.2, 'detected': 211.6}, 9: {'repeatability': 0.9885661902982814, 'matched': 209.2, 'detected': 211.6}, 10: {'repeatability': 0.9866970314197768, 'matched': 208.8, 'detected': 211.6}, 11: {'repeatability': 0.9895791439684881, 'matched': 209.4, 'detected': 211.6}, 12: {'repeatability': 0.985717735260943, 'matched': 208.6, 'detected': 211.6}, 13: {'repeatability': 0.983961648889246, 'matched': 208.2, 'detected': 211.6}, 14: {'repeatability': 0.9830184159366672, 'matched': 208.0, 'detected': 211.6}, 15: {'repeatability': 0.9905497866139955, 'matched': 209.6, 'detected': 211.6}, 16: {'repeatability': 0.9877309785193724, 'matched': 209.0, 'detected': 211.6}, 17: {'repeatability': 0.9819183502996325, 'matched': 207.8, 'detected': 211.6}, 18: {'repeatability': 0.9867977640105217, 'matched': 208.8, 'detected': 211.6}, 19: {'repeatability': 0.9791793655889129, 'matched': 207.2, 'detected': 211.6}}","{0: {'repeatability': 0.8043786583484032, 'matched': 545.0, 'detected': 677.6}, 1: {'repeatability': 0.8015336837055248, 'matched': 543.0, 'detected': 677.6}, 2: {'repeatability': 0.8013840333568479, 'matched': 543.0, 'detected': 677.6}, 3: {'repeatability': 0.8040813628952719, 'matched': 544.8, 'detected': 677.6}, 4: {'repeatability': 0.8050360476313102, 'matched': 545.4, 'detected': 677.4}, 5: {'repeatability': 0.8021012221153322, 'matched': 543.6, 'detected': 677.8}, 6: {'repeatability': 0.7992231853256995, 'matched': 540.8, 'detected': 676.8}, 7: {'repeatability': 0.8018925467714068, 'matched': 543.4, 'detected': 677.6}, 8: {'repeatability': 0.7991297615877451, 'matched': 541.4, 'detected': 677.6}, 9: {'repeatability': 0.8005645817277223, 'matched': 542.6, 'detected': 677.8}, 10: {'repeatability': 0.8010765118628221, 'matched': 542.6, 'detected': 677.4}, 11: {'repeatability': 0.7994349072796891, 'matched': 541.8, 'detected': 677.8}, 12: {'repeatability': 0.8057208699132234, 'matched': 546.2, 'detected': 678.0}, 13: {'repeatability': 0.7995162980088283, 'matched': 541.4, 'detected': 677.2}, 14: {'repeatability': 0.8034767980351962, 'matched': 544.2, 'detected': 677.4}, 15: {'repeatability': 0.80044504296147, 'matched': 542.4, 'detected': 677.6}, 16: {'repeatability': 0.8023025087282265, 'matched': 543.4, 'detected': 677.4}, 17: {'repeatability': 0.8049126437262437, 'matched': 545.4, 'detected': 677.6}, 18: {'repeatability': 0.8041165388401327, 'matched': 544.6, 'detected': 677.4}, 19: {'repeatability': 0.7957854751628204, 'matched': 538.8, 'detected': 677.2}}","{0: {'repeatability': 0.4979568846202239, 'matched': 107.0, 'detected': 214.8}, 1: {'repeatability': 0.5102624250304073, 'matched': 109.4, 'detected': 214.8}, 2: {'repeatability': 0.4869078136140586, 'matched': 104.6, 'detected': 214.8}, 3: {'repeatability': 0.5120167344713333, 'matched': 110.0, 'detected': 214.8}, 4: {'repeatability': 0.5072714423520529, 'matched': 108.8, 'detected': 214.8}, 5: {'repeatability': 0.49914561925932144, 'matched': 107.2, 'detected': 214.8}, 6: {'repeatability': 0.48117330033972233, 'matched': 103.2, 'detected': 214.8}, 7: {'repeatability': 0.4812529463574215, 'matched': 103.4, 'detected': 214.8}, 8: {'repeatability': 0.4903847250765424, 'matched': 105.4, 'detected': 214.8}, 9: {'repeatability': 0.4878664597575809, 'matched': 104.8, 'detected': 214.8}, 10: {'repeatability': 0.498696221113115, 'matched': 107.2, 'detected': 214.8}, 11: {'repeatability': 0.4535844063247074, 'matched': 97.4, 'detected': 214.8}, 12: {'repeatability': 0.4883481944386193, 'matched': 104.8, 'detected': 214.8}, 13: {'repeatability': 0.46737105230046555, 'matched': 100.4, 'detected': 214.8}, 14: {'repeatability': 0.4673494946105775, 'matched': 100.4, 'detected': 214.8}, 15: {'repeatability': 0.48095399068909106, 'matched': 103.2, 'detected': 214.8}, 16: {'repeatability': 0.48314691943127963, 'matched': 103.8, 'detected': 214.8}, 17: {'repeatability': 0.4762577695759762, 'matched': 102.2, 'detected': 214.8}, 18: {'repeatability': 0.4856088579457283, 'matched': 104.2, 'detected': 214.8}, 19: {'repeatability': 0.4332040431153798, 'matched': 93.0, 'detected': 214.8}}","{0: {'repeatability': 0.53125, 'matched': 272.0, 'detected': 512.0}, 1: {'repeatability': 0.500390625, 'matched': 256.2, 'detected': 512.0}, 2: {'repeatability': 0.513671875, 'matched': 263.0, 'detected': 512.0}, 3: {'repeatability': 0.51953125, 'matched': 266.0, 'detected': 512.0}, 4: {'repeatability': 0.48046875, 'matched': 246.0, 'detected': 512.0}, 5: {'repeatability': 0.500390625, 'matched': 256.2, 'detected': 512.0}, 6: {'repeatability': 0.467578125, 'matched': 239.4, 'detected': 512.0}, 7: {'repeatability': 0.4921875, 'matched': 252.0, 'detected': 512.0}, 8: {'repeatability': 0.455859375, 'matched': 233.4, 'detected': 512.0}, 9: {'repeatability': 0.470703125, 'matched': 241.0, 'detected': 512.0}, 10: {'repeatability': 0.42734375, 'matched': 218.8, 'detected': 512.0}, 11: {'repeatability': 0.396875, 'matched': 203.2, 'detected': 512.0}, 12: {'repeatability': 0.4671875, 'matched': 239.2, 'detected': 512.0}, 13: {'repeatability': 0.3421875, 'matched': 175.2, 'detected': 512.0}, 14: {'repeatability': 0.384375, 'matched': 196.8, 'detected': 512.0}, 15: {'repeatability': 0.34140625, 'matched': 174.8, 'detected': 512.0}, 16: {'repeatability': 0.35234375, 'matched': 180.4, 'detected': 512.0}, 17: {'repeatability': 0.3609375, 'matched': 184.8, 'detected': 512.0}, 18: {'repeatability': 0.3859375, 'matched': 197.6, 'detected': 512.0}, 19: {'repeatability': 0.20625, 'matched': 105.6, 'detected': 512.0}}"
oxford,"{0: {'repeatability': 0.9967213114754099, 'matched': 120.4, 'detected': 120.8}, 1: {'repeatability': 0.9966790684856001, 'matched': 120.4, 'detected': 120.8}, 2: {'repeatability': 0.9983739837398374, 'matched': 120.6, 'detected': 120.8}, 3: {'repeatability': 0.9983050847457626, 'matched': 120.6, 'detected': 120.8}, 4: {'repeatability': 0.9917187927089051, 'matched': 119.8, 'detected': 120.8}, 5: {'repeatability': 0.9967213114754099, 'matched': 120.4, 'detected': 120.8}, 6: {'repeatability': 0.9934137079631424, 'matched': 120.0, 'detected': 120.8}, 7: {'repeatability': 0.9933314809669354, 'matched': 120.0, 'detected': 120.8}, 8: {'repeatability': 0.9933314809669354, 'matched': 120.0, 'detected': 120.8}, 9: {'repeatability': 0.9934419565507131, 'matched': 120.0, 'detected': 120.8}, 10: {'repeatability': 0.9949841532313629, 'matched': 120.2, 'detected': 120.8}, 11: {'repeatability': 0.9950679728108757, 'matched': 120.2, 'detected': 120.8}, 12: {'repeatability': 0.9884127817799433, 'matched': 119.4, 'detected': 120.8}, 13: {'repeatability': 0.9933730575566384, 'matched': 120.0, 'detected': 120.8}, 14: {'repeatability': 1.0, 'matched': 120.8, 'detected': 120.8}, 15: {'repeatability': 0.9917337132943432, 'matched': 119.8, 'detected': 120.8}, 16: {'repeatability': 0.9983739837398374, 'matched': 120.6, 'detected': 120.8}, 17: {'repeatability': 0.9950679728108757, 'matched': 120.2, 'detected': 120.8}, 18: {'repeatability': 0.9934552845528455, 'matched': 120.0, 'detected': 120.8}, 19: {'repeatability': 0.9966657404834678, 'matched': 120.4, 'detected': 120.8}}","{0: {'repeatability': 0.9177577585116634, 'matched': 385.6, 'detected': 420.2}, 1: {'repeatability': 0.9138931193887381, 'matched': 383.8, 'detected': 420.0}, 2: {'repeatability': 0.9158531830574482, 'matched': 384.8, 'detected': 420.2}, 3: {'repeatability': 0.9148393416052816, 'matched': 384.2, 'detected': 420.0}, 4: {'repeatability': 0.9115802810998288, 'matched': 383.0, 'detected': 420.2}, 5: {'repeatability': 0.9154325775191602, 'matched': 384.8, 'detected': 420.4}, 6: {'repeatability': 0.9187725076925416, 'matched': 386.2, 'detected': 420.4}, 7: {'repeatability': 0.9110615153826751, 'matched': 382.8, 'detected': 420.2}, 8: {'repeatability': 0.9158482562219235, 'matched': 384.8, 'detected': 420.2}, 9: {'repeatability': 0.9149025679273797, 'matched': 384.4, 'detected': 420.2}, 10: {'repeatability': 0.9196866251899334, 'matched': 386.6, 'detected': 420.4}, 11: {'repeatability': 0.915851078651389, 'matched': 384.8, 'detected': 420.2}, 12: {'repeatability': 0.9153692593981692, 'matched': 384.6, 'detected': 420.2}, 13: {'repeatability': 0.9163973630899086, 'matched': 385.2, 'detected': 420.4}, 14: {'repeatability': 0.9176732542687095, 'matched': 385.4, 'detected': 420.0}, 15: {'repeatability': 0.9182475035094416, 'matched': 386.0, 'detected': 420.4}, 16: {'repeatability': 0.9110090745781415, 'matched': 382.6, 'detected': 420.0}, 17: {'repeatability': 0.9187647576772621, 'matched': 386.0, 'detected': 420.2}, 18: {'repeatability': 0.9167983918189598, 'matched': 385.4, 'detected': 420.4}, 19: {'repeatability': 0.9163627216246597, 'matched': 385.2, 'detected': 420.4}}","{0: {'repeatability': 0.3496873643238854, 'matched': 32.8, 'detected': 93.8}, 1: {'repeatability': 0.35343306717219025, 'matched': 33.2, 'detected': 93.8}, 2: {'repeatability': 0.3775507593065885, 'matched': 35.4, 'detected': 93.8}, 3: {'repeatability': 0.3320705397429863, 'matched': 31.2, 'detected': 93.8}, 4: {'repeatability': 0.3264965576368381, 'matched': 30.6, 'detected': 93.8}, 5: {'repeatability': 0.34724619959888614, 'matched': 32.6, 'detected': 93.8}, 6: {'repeatability': 0.3284543355394289, 'matched': 30.8, 'detected': 93.8}, 7: {'repeatability': 0.34528488812165, 'matched': 32.4, 'detected': 93.8}, 8: {'repeatability': 0.3773205071729825, 'matched': 35.4, 'detected': 93.8}, 9: {'repeatability': 0.32826857627461664, 'matched': 30.8, 'detected': 93.8}, 10: {'repeatability': 0.3305151340661816, 'matched': 31.0, 'detected': 93.8}, 11: {'repeatability': 0.304938685613899, 'matched': 28.6, 'detected': 93.8}, 12: {'repeatability': 0.3176017232394482, 'matched': 29.8, 'detected': 93.8}, 13: {'repeatability': 0.31149028462315187, 'matched': 29.2, 'detected': 93.8}, 14: {'repeatability': 0.29241814639698394, 'matched': 27.4, 'detected': 93.8}, 15: {'repeatability': 0.2950306738261879, 'matched': 27.6, 'detected': 93.8}, 16: {'repeatability': 0.3093988130438456, 'matched': 29.0, 'detected': 93.8}, 17: {'repeatability': 0.2929021382014117, 'matched': 27.4, 'detected': 93.8}, 18: {'repeatability': 0.27784034222796156, 'matched': 26.0, 'detected': 93.8}, 19: {'repeatability': 0.28590551109221385, 'matched': 26.8, 'detected': 93.8}}","{0: {'repeatability': 0.53125, 'matched': 272.0, 'detected': 512.0}, 1: {'repeatability': 0.537890625, 'matched': 275.4, 'detected': 512.0}, 2: {'repeatability': 0.525390625, 'matched': 269.0, 'detected': 512.0}, 3: {'repeatability': 0.531640625, 'matched': 272.2, 'detected': 512.0}, 4: {'repeatability': 0.501953125, 'matched': 257.0, 'detected': 512.0}, 5: {'repeatability': 0.530078125, 'matched': 271.4, 'detected': 512.0}, 6: {'repeatability': 0.508203125, 'matched': 260.2, 'detected': 512.0}, 7: {'repeatability': 0.521484375, 'matched': 267.0, 'detected': 512.0}, 8: {'repeatability': 0.509375, 'matched': 260.8, 'detected': 512.0}, 9: {'repeatability': 0.498828125, 'matched': 255.4, 'detected': 512.0}, 10: {'repeatability': 0.49609375, 'matched': 254.0, 'detected': 512.0}, 11: {'repeatability': 0.479296875, 'matched': 245.4, 'detected': 512.0}, 12: {'repeatability': 0.507421875, 'matched': 259.8, 'detected': 512.0}, 13: {'repeatability': 0.4703125, 'matched': 240.8, 'detected': 512.0}, 14: {'repeatability': 0.487890625, 'matched': 249.8, 'detected': 512.0}, 15: {'repeatability': 0.455078125, 'matched': 233.0, 'detected': 512.0}, 16: {'repeatability': 0.487890625, 'matched': 249.8, 'detected': 512.0}, 17: {'repeatability': 0.47109375, 'matched': 241.2, 'detected': 512.0}, 18: {'repeatability': 0.46953125, 'matched': 240.4, 'detected': 512.0}, 19: {'repeatability': 0.3953125, 'matched': 202.4, 'detected': 512.0}}"
luco,"{0: {'repeatability': 0.9912790697674418, 'matched': 341.0, 'detected': 344.0}, 1: {'repeatability': 0.9825581395348838, 'matched': 338.0, 'detected': 344.0}, 2: {'repeatability': 0.9912790697674418, 'matched': 341.0, 'detected': 344.0}, 3: {'repeatability': 0.9941860465116278, 'matched': 342.0, 'detected': 344.0}, 4: {'repeatability': 0.9912790697674418, 'matched': 341.0, 'detected': 344.0}, 5: {'repeatability': 0.9854651162790697, 'matched': 339.0, 'detected': 344.0}, 6: {'repeatability': 0.9883720930232558, 'matched': 340.0, 'detected': 344.0}, 7: {'repeatability': 0.9854651162790697, 'matched': 339.0, 'detected': 344.0}, 8: {'repeatability': 0.9825581395348838, 'matched': 338.0, 'detected': 344.0}, 9: {'repeatability': 0.9912790697674418, 'matched': 341.0, 'detected': 344.0}, 10: {'repeatability': 0.9854651162790697, 'matched': 339.0, 'detected': 344.0}, 11: {'repeatability': 0.9767441860465116, 'matched': 336.0, 'detected': 344.0}, 12: {'repeatability': 0.9912790697674418, 'matched': 341.0, 'detected': 344.0}, 13: {'repeatability': 0.9912790697674418, 'matched': 341.0, 'detected': 344.0}, 14: {'repeatability': 0.9941860465116278, 'matched': 342.0, 'detected': 344.0}, 15: {'repeatability': 0.9825581395348838, 'matched': 338.0, 'detected': 344.0}, 16: {'repeatability': 0.9912790697674418, 'matched': 341.0, 'detected': 344.0}, 17: {'repeatability': 0.9854651162790697, 'matched': 339.0, 'detected': 344.0}, 18: {'repeatability': 0.9883720930232558, 'matched': 340.0, 'detected': 344.0}, 19: {'repeatability': 0.9767441860465116, 'matched': 336.0, 'detected': 344.0}}","{0: {'repeatability': 0.8260521632763247, 'matched': 2477.0, 'detected': 2998.6}, 1: {'repeatability': 0.8073255119599108, 'matched': 2420.2, 'detected': 2997.8}, 2: {'repeatability': 0.8103884440055916, 'matched': 2427.6, 'detected': 2995.6}, 3: {'repeatability': 0.8068820375897626, 'matched': 2420.0, 'detected': 2999.2}, 4: {'repeatability': 0.8062600442414997, 'matched': 2416.2, 'detected': 2996.8}, 5: {'repeatability': 0.806402410418482, 'matched': 2418.4, 'detected': 2999.0}, 6: {'repeatability': 0.8119286813310616, 'matched': 2434.0, 'detected': 2997.8}, 7: {'repeatability': 0.8112273931730515, 'matched': 2430.6, 'detected': 2996.2}, 8: {'repeatability': 0.8073303026546459, 'matched': 2418.6, 'detected': 2995.8}, 9: {'repeatability': 0.8140759261576894, 'matched': 2440.6, 'detected': 2998.0}, 10: {'repeatability': 0.8032949129967959, 'matched': 2408.6, 'detected': 2998.4}, 11: {'repeatability': 0.808326110911367, 'matched': 2423.2, 'detected': 2997.8}, 12: {'repeatability': 0.8055405761109988, 'matched': 2413.4, 'detected': 2996.0}, 13: {'repeatability': 0.8082109362906806, 'matched': 2421.4, 'detected': 2996.0}, 14: {'repeatability': 0.8077386654271607, 'matched': 2421.6, 'detected': 2998.0}, 15: {'repeatability': 0.8125751502364802, 'matched': 2434.8, 'detected': 2996.4}, 16: {'repeatability': 0.8090023446328185, 'matched': 2422.8, 'detected': 2994.8}, 17: {'repeatability': 0.809485738797151, 'matched': 2427.0, 'detected': 2998.2}, 18: {'repeatability': 0.8080490336244797, 'matched': 2421.4, 'detected': 2996.6}, 19: {'repeatability': 0.8142590088244734, 'matched': 2441.8, 'detected': 2998.8}}","{0: {'repeatability': 0.4786729857819905, 'matched': 202.0, 'detected': 422.0}, 1: {'repeatability': 0.462085308056872, 'matched': 195.0, 'detected': 422.0}, 2: {'repeatability': 0.4549763033175355, 'matched': 192.0, 'detected': 422.0}, 3: {'repeatability': 0.4857819905213271, 'matched': 205.0, 'detected': 422.0}, 4: {'repeatability': 0.4454976303317536, 'matched': 188.0, 'detected': 422.0}, 5: {'repeatability': 0.45260663507109006, 'matched': 191.0, 'detected': 422.0}, 6: {'repeatability': 0.48815165876777245, 'matched': 206.0, 'detected': 422.0}, 7: {'repeatability': 0.45734597156398105, 'matched': 193.0, 'detected': 422.0}, 8: {'repeatability': 0.4454976303317536, 'matched': 188.0, 'detected': 422.0}, 9: {'repeatability': 0.4549763033175355, 'matched': 192.0, 'detected': 422.0}, 10: {'repeatability': 0.46445497630331756, 'matched': 196.0, 'detected': 422.0}, 11: {'repeatability': 0.476303317535545, 'matched': 201.0, 'detected': 422.0}, 12: {'repeatability': 0.45260663507109006, 'matched': 191.0, 'detected': 422.0}, 13: {'repeatability': 0.45734597156398105, 'matched': 193.0, 'detected': 422.0}, 14: {'repeatability': 0.46919431279620855, 'matched': 198.0, 'detected': 422.0}, 15: {'repeatability': 0.46445497630331756, 'matched': 196.0, 'detected': 422.0}, 16: {'repeatability': 0.43364928909952605, 'matched': 183.0, 'detected': 422.0}, 17: {'repeatability': 0.4597156398104265, 'matched': 194.0, 'detected': 422.0}, 18: {'repeatability': 0.49289099526066343, 'matched': 208.0, 'detected': 422.0}, 19: {'repeatability': 0.44786729857819907, 'matched': 189.0, 'detected': 422.0}}","{0: {'repeatability': 0.246875, 'matched': 126.4, 'detected': 512.0}, 1: {'repeatability': 0.226953125, 'matched': 116.2, 'detected': 512.0}, 2: {'repeatability': 0.228125, 'matched': 116.8, 'detected': 512.0}, 3: {'repeatability': 0.23828125, 'matched': 122.0, 'detected': 512.0}, 4: {'repeatability': 0.220703125, 'matched': 113.0, 'detected': 512.0}, 5: {'repeatability': 0.2359375, 'matched': 120.8, 'detected': 512.0}, 6: {'repeatability': 0.216796875, 'matched': 111.0, 'detected': 512.0}, 7: {'repeatability': 0.22578125, 'matched': 115.6, 'detected': 512.0}, 8: {'repeatability': 0.22421875, 'matched': 114.8, 'detected': 512.0}, 9: {'repeatability': 0.20703125, 'matched': 106.0, 'detected': 512.0}, 10: {'repeatability': 0.19765625, 'matched': 101.2, 'detected': 512.0}, 11: {'repeatability': 0.208203125, 'matched': 106.6, 'detected': 512.0}, 12: {'repeatability': 0.225, 'matched': 115.2, 'detected': 512.0}, 13: {'repeatability': 0.184765625, 'matched': 94.6, 'detected': 512.0}, 14: {'repeatability': 0.205859375, 'matched': 105.4, 'detected': 512.0}, 15: {'repeatability': 0.183203125, 'matched': 93.8, 'detected': 512.0}, 16: {'repeatability': 0.189453125, 'matched': 97.0, 'detected': 512.0}, 17: {'repeatability': 0.1953125, 'matched': 100.0, 'detected': 512.0}, 18: {'repeatability': 0.201171875, 'matched': 103.0, 'detected': 512.0}, 19: {'repeatability': 0.137890625, 'matched': 70.6, 'detected': 512.0}}"
